iter	Passed	Remaining
832	20233	4056
833	20240	4028
834	20248	4001
835	20255	3973
836	20263	3946
837	20271	3918
838	20278	3891
839	20286	3864
840	20293	3836
841	20301	3809
842	20309	3782
843	20317	3755
844	20325	3728
845	20333	3701
846	20340	3674
847	20348	3647
848	20356	3620
849	20363	3593
850	20371	3566
851	20379	3540
852	20386	3513
853	20394	3486
854	20401	3459
855	20409	3433
856	20417	3406
857	20423	3380
858	20431	3353
859	20438	3327
860	20446	3300
861	20454	3274
862	20461	3248
863	20468	3221
864	20475	3195
865	20482	3169
866	20490	3143
867	20497	3117
868	20504	3091
869	20511	3064
870	20519	3039
871	20526	3013
872	20533	2987
873	20540	2961
874	20548	2935
875	20555	2909
876	20561	2883
877	20568	2858
878	20574	2832
879	20581	2806
880	20587	2780
881	20593	2755
882	20600	2729
883	20607	2704
884	20613	2678
885	20620	2653
886	20626	2627
887	20632	2602
888	20639	2576
889	20645	2551
890	20651	2526
891	20658	2501
892	20665	2476
893	20671	2451
894	20679	2426
895	20685	2400
896	20692	2376
897	20698	2351
898	20704	2326
899	20711	2301
900	20717	2276
901	20724	2251
902	20730	2226
903	20736	2202
904	20742	2177
905	20748	2152
906	20754	2128
907	20760	2103
908	20766	2078
909	20772	2054
910	20778	2029
911	20784	2005
912	20790	1981
913	20796	1956
914	20802	1932
915	20808	1908
916	20814	1883
917	20820	1859
918	20827	1835
919	20834	1811
920	20841	1787
921	20848	1763
922	20855	1739
923	20861	1715
924	20867	1691
925	20873	1668
926	20879	1644
927	20885	1620
928	20891	1596
929	20897	1572
930	20903	1549
931	20908	1525
932	20914	1501
933	20920	1478
934	20926	1454
935	20932	1431
936	20938	1407
937	20944	1384
938	20950	1361
939	20956	1337
940	20962	1314
941	20968	1291
942	20974	1267
943	20980	1244
944	20986	1221
945	20992	1198
946	20999	1175
947	21005	1152
948	21011	1129
949	21017	1106
950	21023	1083
951	21029	1060
952	21035	1037
953	21041	1014
954	21047	991
955	21053	968
956	21059	946
957	21065	923
958	21071	900
959	21076	878
960	21083	855
961	21089	833
962	21095	810
963	21101	788
964	21107	765
965	21113	743
966	21119	720
967	21125	698
968	21132	676
969	21137	653
970	21144	631
971	21150	609
972	21156	587
973	21163	564
974	21171	542
975	21177	520
976	21184	498
977	21191	476
978	21198	454
979	21205	432
980	21212	410
981	21219	388
982	21226	367
983	21233	345
984	21239	323
985	21246	301
986	21253	279
987	21259	258
988	21266	236
989	21273	214
990	21280	193
991	21288	171
992	21294	150
993	21300	128
994	21307	107
995	21314	85
996	21321	64
997	21328	42
998	21335	21
999	21342	0
